dataset_id,premise,positive_hypothesis,negative_hypothesis,correct_polarity
5900,"The Paper (Papír) je americký komediální dramatický film z roku 1994, který režíroval Ron Howard a ve kterém hrají Michael Keaton, Glenn Close, Marisa Tomei, Randy Quaid a Robert Duvall.",Ve filmu The Paper hraje hlavní roli kůň.,Ve filmu The Paper nehraje hlavní roli kůň.,N
29551,"Neviditelný muž (The Invisible Man) je americký pre-Code sci-fi horor z roku 1933 natočený podle vědeckofantastického románu H. G. Wellse Neviditelný muž, vydaného v roce 1897, v adaptaci R. C. Sherriffa, Philipa Wylieho a Prestona Sturgese, jehož práce byla považována za neuspokojivou a který byl z projektu odvolán. Neviditelná žena je americká vědeckofantastická filmová komedie, která byla uvedena koncem roku 1940 společností Universal.",Neviditelný muž byl pouze akční film bez vědeckofantastických prvků.,Neviditelný muž nebyl pouze akční film bez vědeckofantastických prvků.,N
128843,"Petyr Baelish, přezdívaný Malíček, je fiktivní postava vytvořená americkým spisovatelem Georgem R. R. Martinem.",Petyr Baelish je skutečná postava.,Petyr Baelish není skutečná postava.,N
66903,"The Quiet je americký dramatický thriller z roku 2005, který režíroval Jamie Babbit a ve kterém si zahrály Camilla Belle a Elisha Cuthbert.",Film Ticho režírovala chobotnice.,Film Ticho nerežírovala chobotnice.,N
40305,"Estonsko. Na severu hraničí s Finským zálivem, na západě s Baltským mořem, na jihu s Lotyšskem (343 km) a na východě s Peipuským jezerem a Ruskem (338,6 km). Území Estonska tvoří pevnina a 2222 ostrovů a ostrůvků v Baltském moři o rozloze 45339 km2 pevniny a vody a je ovlivněno vlhkým kontinentálním podnebím. Grónské moře je vodní plocha, která na západě hraničí s Grónskem, na východě se souostrovím Špicberky, na severu s Framovým průlivem a Severním ledovým oceánem a na jihu s Norským mořem a Islandem.",Estonsko sousedí se Severním ledovým oceánem.,Estonsko nesousedí se Severním ledovým oceánem.,N
5037,Dárce (film). Film získal nominaci na cenu People's Choice Award za nejoblíbenější dramatický film.,Dárce získal nominaci na cenu People's Choice Award za oblíbený dramatický film.,Dárce nezískal nominaci na cenu People's Choice Award za oblíbený dramatický film.,P
32520,"Bengálský tygr je indická akční komedie z roku 2015 v telugském jazyce, kterou napsal a režíroval Sampath Nandi. Bengálský tygr. Je to národní zvíře Indie i Bangladéše.",Tygr bengálský pochází z oblasti.,Tygr bengálský nepochází z oblasti.,P
220447,"Církev Ježíše Krista Svatých posledních dnů. Věrní členové dodržují církevní zákony o sexuální čistotě, zdraví, půstu a dodržování soboty a přispívají církvi deseti procenty svých příjmů formou desátků.",Církev Ježíše Krista Svatých posledních dnů odmítla kdykoli stanovit sobotu.,Církev Ježíše Krista Svatých posledních dnů neodmítla kdykoli stanovit sobotu.,N
4595,Burdž Chalífa. Obsahuje celkem 57 výtahů a 8 eskalátorů.,Burdž Chalífa obsahuje 8 eskalátorů.,Burdž Chalífa neobsahuje 8 eskalátorů.,P
93878,"Reds je americké epické drama z roku 1981, jehož spoluscenáristou, producentem a režisérem je Warren Beatty.","Warren Beatty byl spoluautorem scénáře, producentem a režisérem epického dramatického filmu.","Warren Beatty nebyl spoluautorem scénáře, producentem a režisérem epického dramatického filmu.",P
142765,"Kung Fu Panda. Film Kung Fu Panda byl otevřen ve 4 114 kinech a za první den premiéry vydělal 20,3 milionu dolarů a za první víkend 60,2 milionu dolarů, což vedlo k prvnímu místu v pokladnách kin.",Kung Fu Panda vydělala v den premiéry 70 300 000 dolarů.,Kung Fu Panda nevydělala v den premiéry 70 300 000 dolarů.,N
198434,"Arthur Schopenhauer ([ˈaɐ̯tʊɐ̯ ˈʃoːpm̩ˌhaʊ̯ɐ]; 22. února 1788 - 21. září 1860) byl německý filozof. Nejznámější je jeho dílo Svět jako vůle a reprezentace z roku 1818 (rozšířené v roce 1844), v němž charakterizuje fenomenální svět jako produkt slepé a nenasytné metafyzické vůle.",Arthur Schopenhauer byl vždy pouze matematikem.,Arthur Schopenhauer nebyl vždy pouze matematikem.,N
193549,"Bala (rodným jménem Bala Pazhanisaamy) je indický filmový režisér, scenárista a producent, působící v tamilské kinematografii. Bala je všeobecně uznáván za ""revoluci v tamilské kinematografii"" díky svému realistickému, temnému a znepokojivému zobrazení dělnické třídy na celuloidovém plátně. Za svou práci získal několik cen a uznání, včetně Národní filmové ceny za nejlepší režii za svůj čtvrtý celovečerní film Naan Kadavul (2009).",Bala má režijní zkušenosti.,Bala nemá žádné režijní zkušenosti.,P
41764,"Šílený Max: Fury Road je akční film z roku 2015, jehož spoluscenáristou, koproducentem a režisérem je George Miller. V roce 2009 Miller oznámil, že natáčení začne na začátku roku 2011. Film měl světovou premiéru 7. května 2015 v TCL Chinese Theatre. Celosvětové uvedení do kin začalo 14. května 2015, včetně mimosoutěžního promítání na 68. ročníku filmového festivalu v Cannes, a to ve 2D, 3D, IMAX 3D a 4DX. Film byl mnoha kritiky označen za nejlepší film roku 2015 a je považován za jeden z nejlepších akčních filmů vůbec; uznání se dostalo jeho scénáři, akčním sekvencím a hereckému obsazení.",Šílený Max: Cesta zuřivosti byl uveden do kin v 21. století.,Šílený Max: Cesta zuřivosti nebyl uveden do kin v 21. století.,P
88211,Legendary Entertainment (známá také jako Legendary Pictures nebo Legendary) je americká mediální společnost se sídlem v Burbanku v Kalifornii. Společnost založil Thomas Tull v roce 2000 a v roce 2005 uzavřela dohodu o koprodukci a spolufinancování filmů se společností Warner Bros. a v roce 2014 zahájila podobnou dohodu se společností Universal Studios. Od roku 2016 je Legendary dceřinou společností čínského konglomerátu Wanda Group.,Společnost Legendary Entertainment je vlastněna a provozována nezávisle.,Společnost Legendary Entertainment není vlastněna a provozována nezávisle.,N
19204,"Gabbar se vrací je indický akční film o mstiteli z roku 2015, který režíroval Krish a produkovaly společnosti Sanjay Leela Bhansali a Viacom 18 Motion Pictures. Film, v němž hlavní role ztvárnili Akshay Kumar a Shruti Haasan, je remakem tamilského filmu Ramanaa z roku 2002 režiséra A. R. Murugadosse, který se později dočkal remaku v telugštině pod názvem Tagore v roce 2003 a v kannadštině pod názvem Vishnu Sena v roce 2005. Garam Masala (v překladu Horké koření) je indický komediální film z roku 2005, který režíroval Priyadarshan a ve kterém se objevili Akshay Kumar, John Abraham, Rimi Sen, Neha Dhupia, Paresh Rawal a Rajpal Yadav. Sabbir Khan. V roce 2009 debutoval jako režisér filmem Kambakkht Ishq (2009), ve kterém si zahráli Akshay Kumar a Kareena Kapoor.",Sabbir Khan byl režisérem filmu s Akshayem Kumarem v hlavní roli.,Sabbir Khan nebyl režisérem filmu s Akshayem Kumarem v hlavní roli.,P
49117,"Therasia, známá také jako Thirasía, je ostrov ve skupině sopečných ostrovů Santorini v řeckých Kykladách. Leží severozápadně od malého ostrova Nea Kameni, který vznikl v posledních staletích sopečnou činností a vyznačuje tak střed ostrovní skupiny. Therasia je druhým největším ostrovem skupiny, zdaleka největší je Théra. Therasia má rozlohu 9,299 km² a při sčítání lidu v roce 2011 zde žilo 319 obyvatel. Je součástí městské části Oia.",Therasia je kus země.,Therasia není kus země.,P
206026,"The Office je americký televizní komediální seriál, který se vysílal na stanici NBC od 24. března 2005 do 16. května 2013. Seriál debutoval na stanici NBC jako náhrada v polovině sezóny a běžel devět sezón a 201 epizod. První sezóna Kanclu se setkala se smíšenými ohlasy, ale následující čtyři sezóny se dočkaly širokého uznání televizních kritiků. Tyto sezóny byly zařazeny do několika žebříčků nejlepších televizních seriálů podle kritiků na konci roku a získaly několik ocenění včetně čtyř cen Primetime Emmy, včetně ceny za vynikající komediální seriál v roce 2006. The Office (britský televizní seriál). Byly natočeny dvě šestidílné série a dvojice 45minutových vánočních speciálů.",Seriál The Office (USA) měl nula epizod.,Seriál The Office (USA) neměl nula epizod.,N
142129,"Times Higher Education World University Rankings je každoročně vydávaný žebříček univerzit časopisem Times Higher Education (THE). Publikace nyní zahrnuje celkový světový žebříček, oborový žebříček a žebříček reputace, spolu se třemi regionálními žebříčky: Asie, Latinská Amerika a BRICS & Emerging Economies, které jsou vytvářeny podle jednotné metodiky.",Times Higher Education World University Rankings je publikace žebříčků vydávaná časopisem.,Times Higher Education World University Rankings není publikace žebříčků vydávaná časopisem.,P
17248,"Šílený Max: Fury Road je akční film z roku 2015, jehož spoluscenáristou, koproducentem a režisérem je George Miller. Ten krátce uvažoval o jeho produkci jako počítačem animovaného filmu, ale upustil od toho ve prospěch hraného filmu. Film byl mnoha kritiky označen za nejlepší film roku 2015 a je považován za jeden z nejlepších akčních filmů vůbec; uznání se dostalo jeho scénáři, akčním sekvencím a hereckému obsazení.",Šílený Max: Fury Road je akční film.,Šílený Max: Fury Road není akční film.,P
198896,"Lois Laneová. Její fyzický vzhled byl původně založen na Joanne Carterové, modelce najaté Jerrym Siegelem a Joem Shusterem a Siegelově budoucí manželce. Siegel převzal její jméno od herečky Loly Laneové.",Jméno Lois Laneové bylo převzato od herečky.,Jméno Lois Laneové nebylo převzato od herečky.,P
81540,See You on the Other Side (album skupiny Korn). Album bylo poprvé certifikováno jako zlaté ve Spojených státech 12. ledna 2006; následná platinová certifikace byla udělena 16. března 2006.,See You on the Other Side získalo platinovou desku v roce 2006.,See You on the Other Side nezískalo platinovou desku v roce 2006.,P
49258,Matthew Staton Bomer (narozen 11. října 1977) je americký herec.,Matt Bomer je irského původu.,Matt Bomer není irského původu.,N
175868,"Christopher Paul Mullin (narozen 30. července 1963) je americký profesionální basketbalista ve výslužbě a současný hlavní trenér týmu St John's Red Storm. Během svého působení na univerzitě St John's byl třikrát vyhlášen hráčem roku na Big East a byl členem amerického mužského olympijského basketbalového týmu v roce 1984, Mullin byl vybrán jako sedmý hráč Golden State Warriors v prvním kole draftu NBA v roce 1985. V týmu Warriors hrál od sezóny 1985-86 až do sezóny 1996-97. Poté Mullin hrál v týmu Indiana Pacers od roku 1997 do sezóny 1999 - 2000. Po sezóně 2000 - 01 ukončil kariéru a hrál za svůj původní tým Warriors.","Chris Mullin hrál v týmu, který sídlil v Indianapolisu.","Chris Mullin nehrál v týmu, který sídlil v Indianapolisu.",P
194226,"Mike Friedrich (narozen 27. března 1949) je americký komiksový scenárista a vydavatel, známý především svou prací pro Marvel a DC Comics a vydáváním antologické série Star * Reach, jednoho z prvních nezávislých komiksů.",Mike Friedrich se narodil 17. března 1949.,Mike Friedrich se nenarodil 17. března 1949.,N
7430,Jenny McCarthyová. Svou kariéru zahájila v roce 1993 jako nahá modelka pro časopis Playboy a později byla jmenována jeho Playmate roku.,Jenny McCarthy se stala modelkou pro fotografy Playboye.,Jenny McCarthy se nestala modelkou pro fotografy Playboye.,P
73560,"The Vandals je punkrocková skupina ze Spojených států amerických, která vznikla v roce 1980 v Huntington Beach v Kalifornii. Vandalové byli východogermánský kmen nebo skupina kmenů, o nichž se poprvé hovoří v jižním Polsku, ale později se pohybovali po Evropě a v 5. století založili království ve Španělsku a později v severní Africe.",Vandalové se poprvé objevili na Aljašce.,Vandalové se poprvé neobjevili na Aljašce.,N
217115,"Inovace. Inovace je však často chápána také jako aplikace lepších řešení, která splňují nové požadavky, neartikulované potřeby nebo stávající potřeby trhu.","Inovace je často přehlížena také jako aplikace lepších řešení, která splňují stávající potřeby trhu.","Inovace není často přehlížena také jako aplikace lepších řešení, která splňují stávající potřeby trhu.",N
3843,"Joseph Carey Merrick (5. srpna 1862 - 11. dubna 1890; často nesprávně nazývaný John Merrick) byl Angličan s velmi těžkými deformacemi, který byl nejprve vystavován na výstavě podivínů jako ""Sloní muž"" a poté, co se seznámil s Frederickem Trevesem, odešel žít do londýnské nemocnice, takže se stal známým v londýnské společnosti. Merrick se narodil v Leicesteru a během prvních let života se začal abnormálně vyvíjet: jeho kůže vypadala tlustá a hrudkovitá, zvětšily se mu rty a na čele mu vyrostla kostnatá boule, zvětšila se mu jedna ruka a obě nohy a někdy v dětství upadl a poškodil si kyčel, což mělo za následek trvalé kulhání. Ačkoli oficiální příčinou jeho smrti bylo udušení, Treves, který prováděl pitvu těla, uvedl, že Merrick zemřel na vykloubený krk. Joseph Merrick (srpen 1808 - 22. října 1849) byl jamajský baptistický misionář, který s pomocí Josepha Jacksona Fullera založil první úspěšnou misii na kamerunském pobřeží Afriky.",Joseph Merrick byl v 19. století těžce deformovaný muž.,Joseph Merrick nebyl v 19. století těžce deformovaný muž.,P
55028,Taarak Mehta Ka Ooltah Chashmah (česky: Jiná perspektiva Taaraka Mehty) je nejdéle vysílaný indický sitcomový seriál produkovaný společností Neela Tele Films Private Limited.,Taarak Mehta Ka Ooltah Chashmah je produkován společností Lord Sauron.,Taarak Mehta Ka Ooltah Chashmah není produkován společností Lord Sauron.,N
112757,"Ekta Kapoor. Kapoor produkoval také televizní seriály Naagin, Ye Hai Mohabbatein, Kumkum Bhagya, Kavach a Kasam Tere Pyaar Ki. Kumkum Bhagya. Seriál produkuje Ekta Kapoor pod hlavičkou Balaji Telefilms. Seriál režíruje Sameer Kulkarni a vyvíjí ho Ekta Kapoor.",Ekta Kapoor seriál Kumkum Bhagya produkovala.,Ekta Kapoor seriál Kumkum Bhagya neprodukovala.,P
122657,"Brown University je soukromá výzkumná univerzita Ivy League v Providence na Rhode Islandu ve Spojených státech amerických, založená v roce 1764 jako ""The College in the English Colony of Rhode Island and Providence Plantations"". Hlavní kampus Brownovy univerzity se nachází v historické čtvrti College Hill ve městě Providence, třetím největším městě Nové Anglie.",Hlavní kampus Brownovy univerzity se nachází v druhém nejlidnatějším městě Rhode Islandu.,Hlavní kampus Brownovy univerzity se nenachází v druhém nejlidnatějším městě Rhode Islandu.,N
37675,"Southern Hospitality (píseň). Píseň debutovala 20. ledna 2001 na 86. místě žebříčku Billboard Hot 100, 10. února 2001 se dostala do Top 40 na 38. místo a 24. března dosáhla vrcholu na 23. místě.",Southern Hospitality se v žebříčku Billboard Hot 100 umístila na 86. místě.,Southern Hospitality se v žebříčku Billboard Hot 100 neumístila na 86. místě.,P
90777,"Na Marsu. Na Marsu se nachází Olympus Mons, největší sopka a druhá nejvyšší známá hora ve Sluneční soustavě, a Valles Marineris, jeden z největších kaňonů ve Sluneční soustavě. Valles Marineris (latinsky Marinerova údolí, pojmenovaná podle sondy Mariner 9 na oběžné dráze Marsu z let 1971 - 72, která je objevila) je systém kaňonů, který se táhne podél povrchu Marsu východně od oblasti Tharsis. Valles Marineris se nachází podél rovníku Marsu, na východní straně Tharsisova výběžku, a táhne se téměř po čtvrtině obvodu planety.",Valles Marineris se nachází na Marsu.,Valles Marineris se nenachází na Marsu.,P
98622,"V čínské filozofii pojmy jin a jang (také jin - jang nebo jin-jang, yīnyáng ""temný - světlý"") popisují, jak se zdánlivě protikladné nebo protichůdné síly mohou ve skutečnosti v přírodě doplňovat, propojovat a být na sobě závislé, a jak mohou dávat vzniknout jedna druhé, protože se navzájem ovlivňují.",Jin a jang je taoistický koncept.,Jin a jang není taoistický koncept.,P
164103,"Annie (film z roku 1982). Film, který byl uveden 18. června 1982, získal smíšené hodnocení kritiků a byl nominován na 55. ročníku udílení Oscarů za nejlepší výpravu a nejlepší hudbu a její adaptaci. Annie je americký hudebně-komediálně-dramatický film z roku 1999 natočený pro televizi The Wonderful World of Disney, který produkovaly společnosti Chris Montan Productions, Storyline Entertainment, Walt Disney Television a Columbia TriStar Television. Annie je americký hudební komediálně-dramatický film z roku 2014 v režii Willa Glucka a v produkci Village Roadshow Pictures a Overbrook Entertainment Willa Smithe pro Sony Pictures Columbia Pictures. Annie získala dvě nominace na Zlatý glóbus, jednu za nejlepší ženský herecký výkon ve filmu - komedii nebo muzikálu (pro Wallis) a druhou za nejlepší původní píseň. Naopak film získal Zlatou malinu za nejhorší prequel, remake, rip-off nebo sequel a Cameron Diaz byla nominována za nejhorší herečku ve vedlejší roli.",Annie je pouze obraz.,Annie není pouze obraz.,N
89876,"Keegan-Michael Key. Zahrál si ve skečovém seriálu Key & Peele stanice Comedy Central a spoluúčinkuje v komediálním seriálu Playing House stanice USA Network. V roce 2014 si zahrál také v první sérii seriálu Fargo stanice FX a měl stálou roli v šesté a sedmé sérii seriálu Parks and Recreation stanice NBC. V roce 2015 se Key objevil na večeři korespondentů v Bílém domě jako postava Luthera, překladatele hněvu prezidenta Baracka Obamy.",Keegan-Michael Key zatím nikoho hrál.,Keegan-Michael Key zatím nikoho nehrál.,P
99461,"Osobnost je soubor individuálních odlišností, které jsou ovlivněny vývojem jedince: hodnoty, postoje, osobní vzpomínky, sociální vztahy, návyky a dovednosti.",Osobnost je ovlivněna překážkami v podobě hodnot.,Osobnost není ovlivněna překážkami v podobě hodnot.,N
68507,Anneliese van der Pol. Po svých začátcích v hudebním divadle se proslavila především rolí Chelsea Danielsové v seriálu That's So Raven.,Anneliese van der Pol je nejvíce známá díky své roli v seriálu That's So Raven.,Anneliese van der Pol není nejvíce známá díky své roli v seriálu That's So Raven.,P
20672,Vincent D'Onofrio. D'Onofrio je mimo jiné držitelem ceny Saturn a nominován na cenu Emmy.,Vincent D'Onofrio byl nominován na cenu Emmy.,Vincent D'Onofrio nebyl nominován na cenu Emmy.,P
8316,"Brent Mydland (21. října 1952 - 26. července 1990) byl americký klávesista a zpěvák, známý především díky působení v rockové skupině Grateful Dead v letech 1979-1990.",Brent Mydland byl členem skupiny Grateful Dead.,Brent Mydland nebyl členem skupiny Grateful Dead.,P
134314,"One True Thing je americký dramatický film z roku 1998, který režíroval Carl Franklin.",One True Thing je německý film.,One True Thing není německý film.,N
141970,Karen Lucille Hale (narozena 14. června 1989) je americká herečka a zpěvačka.,Křestním jménem Lucy Hale je Heather.,Křestním jménem Lucy Hale není Heather.,N
50198,"Scandal je americká rocková skupina z 80. let 20. století, jejímž frontmanem je Patty Smyth. Skandál je americký politický thrillerový televizní seriál s Kerry Washingtonovou v hlavní roli. Postava Kerry Washingtonové, Olivia Popeová, je částečně založena na bývalé tiskové poradkyni administrativy George Bushe mladšího Judy Smithové, která působí jako spoluvýkonná producentka. Seriál se odehrává ve Washingtonu, D.C. a zaměřuje se na firmu Olivie Popeové Olivia Pope & Associates, která se zabývá krizovým managementem, a její zaměstnance, stejně jako na zaměstnance Bílého domu a okolní politické scény, mezi něž patří prezident Fitzgerald Grant III, personální šéfka Bílého domu Abigail Whelanová, generální prokurátor David Rosen, viceprezidentka Susan Rossová, personální šéfka viceprezidentky Elizabeth Northová, bývalá první dáma a nyní zvolená prezidentka Mellie Grantová, ředitel NSA Jake Ballard a bývalý personální šéf Bílého domu Cyrus Beene.","V čele Skandálu stojí někdo, kdo se narodil 4. srpna 1957.","V čele Skandálu nestojí někdo, kdo se narodil 4. srpna 1957.",N
51885,"Dobrý den pro těžkou smrt. Film režíroval John Moore, scénář napsal Skip Woods a v hlavní roli Johna McClanea se představil Bruce Willis.",Film Dobrý den pro smrtonosnou past režíroval John Moore.,Film Dobrý den pro smrtonosnou past nerežíroval John Moore.,P
161778,Planet Hollywood Las Vegas. Vlastní a provozuje ji společnost Caesars Entertainment Corporation.,Vlastníkem společnosti Planet Hollywood Las Vegas je Caesars Entertainment Corporation.,Vlastníkem společnosti Planet Hollywood Las Vegas není Caesars Entertainment Corporation.,P
26281,"AMC Theaters (původně zkratka American Multi-Cinema, často označovaná jednoduše AMC a v některých zemích známá jako AMC Cinemas) je americký řetězec kin vlastněný a provozovaný společností AMC Entertainment Inc, která je sama vlastněna společností AMC Entertainment Holdings, Inc, jejímž většinovým vlastníkem je čínský konglomerát Dalian Wanda Group. Legendární zábava. Od roku 2016 je Legendary dceřinou společností čínského konglomerátu Wanda Group.",Legendary Entertainment je od roku 2016 dceřinou společností čínského konglomerátu Wanda Group.,Legendary Entertainment není od roku 2016 dceřinou společností čínského konglomerátu Wanda Group.,P
103535,"Rick Ross. V roce 2009 Ross založil nahrávací společnost Maybach Music Group, na které vydal studiová alba Deeper Than Rap (2009), Teflon Don (2010), God Forgives, I Do n't (2012), Mastermind, Hood Billionaire (2014), Black Market (2015) a Rather You Than Me (2017).",Rick Ross vydal Hood Billionaire v roce 2010.,Rick Ross vydal Hood Billionaire v roce 2010.,N
7032,"Bitva u Třebíče. Bitva se odehrála v rovinaté krajině provincie Piacenza na levém břehu řeky Trebbia, mělkém opleteném toku, nedaleko jižně od jejího soutoku (z jihu) s řekou Pád.",Levý břeh řeky Trebbia je místem bitvy u Trebie.,Levý břeh řeky Trebbia není místem bitvy u Trebie.,P
61781,"Skandinávie. Odlehlé norské ostrovy Špicberky a Jan Mayen obvykle nejsou považovány za součást Skandinávie, stejně jako Grónsko, zámořské území Dánska.",Skandinávie zahrnuje odlehlá norská území Svalbard a Jan Mayen.,Skandinávie nezahrnuje odlehlá norská území Svalbard a Jan Mayen.,N
123108,"Objekt blízký Zemi (NEO) je každé malé těleso sluneční soustavy, jehož oběžná dráha ho přivádí do blízkosti Země.",Objekt blízký Zemi se označuje zkratkou NZO.,Objekt blízký Zemi se neoznačuje zkratkou NZO.,N
76904,"Přístav Algeciras je přístav a přístav města Algeciras, které se nachází v provincii Cádiz v autonomním společenství Andalusie ve Španělsku. Barcelonský přístav (Port de Barcelona, [ˈpɔr ðə βərsəˈɫonə]; Puerto de Barcelona) má 2000letou historii a velký současný obchodní význam jako jeden z evropských přístavů ve Středomoří a také jako největší katalánský přístav, který se vyrovná Tarragoně. Port of Spain je hlavní město Trinidadské republiky a třetí největší obec v zemi po Chaguanas a San Fernandu. Město slouží především jako obchodní a administrativní centrum a od roku 1757 je hlavním městem ostrova. Dnes je Port of Spain předním městem karibské oblasti.",Port of Spain je město.,Port of Spain není město.,N
219202,"Druh distribuce: Vampýrský film. Biogeografové se snaží pochopit faktory určující rozšíření druhů. Velmi užitečné pro pochopení rozšíření druhů jsou faktory jako speciace, vymírání, kontinentální drift, zalednění, kolísání hladiny moří, zachycení řek a dostupné zdroje.",Rozšíření druhů lze pochopit prostřednictvím alespoň jednoho faktoru.,Rozšíření druhů nelze pochopit prostřednictvím alespoň jednoho faktoru.,P
137968,"Shaun of the Dead je britská hororová komedie z roku 2004, kterou režíroval Edgar Wright, napsali ji Wright a Simon Pegg a v hlavních rolích se představili Pegg a Nick Frost. Simon John Pegg (né Beckingham; narozen 14. února 1970) je anglický herec, komik, scenárista a producent. Podílel se na scénáři a hrál ve filmové trilogii Three Flavours Cornetto: (2004), Hot Fuzz (2007) a Konec světa (2013). Spolu s Nickem Frostem napsal scénář a zahrál si ve sci-fi filmu Paul (2011).",Simon Pegg je pes.,Simon Pegg není pes.,N
47792,"Poloviční přítelkyně (film). Hlavní natáčení bylo zahájeno v červnu 2016 a mezi místa natáčení patří Dillí, Bombaj, Patna, Dúmrán, Váránasí, New York a Kapské Město.",Hlavní natáčení filmu Half Girlfriend začalo v květnu 2016.,Hlavní natáčení filmu Half Girlfriend nezačalo v květnu 2016.,N
8834,"Antigua a Barbuda. Skládá se ze dvou hlavních obydlených ostrovů, Antiguy a Barbudy, a řady menších ostrovů (včetně ostrovů Great Bird, Green, Guinea, Long, Maiden a York a jižněji ostrova Redonda). Jméno zemi dal Kryštof Kolumbus v roce 1493 po objevení ostrova na počest Panny Marie z Antiguy v sevillské katedrále.",Poprvé a naposledy byla Antigua a Barbuda pojmenována v roce 1450.,Poprvé a naposledy nebyla Antigua a Barbuda pojmenována v roce 1450.,N
31020,"Hra o trůny je první román ze série fantasy románů Píseň ledu a ohně amerického spisovatele George R. R. Martina. A Storm of Swords (Bouře mečů) je třetí ze sedmi plánovaných románů série A Song of Ice and Fire (Píseň ledu a ohně), fantasy série amerického autora George R. R. Martina. Daenerys Targaryen. Daenerys, představená v románu Hra o trůny z roku 1996, je (spolu se svým starším bratrem Viserysem) jedním z posledních potvrzených členů rodu Targaryenů, který ještě patnáct let před událostmi prvního románu vládl z Železného trůnu téměř tři sta let. Nezná jiný život než život ve vyhnanství a zůstává závislá na svém starším bratrovi Viserysovi, který ji týrá.",Starší bratr Daenerys Targaryen se jmenuje Bran.,Starší bratr Daenerys Targaryen se  Bran.,N
94812,"Catherine Keenerová. Keenerová se objevila také ve filmech Into the Wild (2007), Synekdocha, New York (2008) a Get Out (2017), které byly dobře přijaty kritikou. Into the Wild je americké životopisné survival drama z roku 2007, které napsal, spoluprodukoval a režíroval Sean Penn. Ve filmu hrají Emile Hirsch jako McCandless, Marcia Gay Harden a William Hurt jako jeho rodiče a dále účinkují Jena Malone, Catherine Keener, Vince Vaughn, Kristen Stewart a Hal Holbrook.",Catherine Keener se objevila ve filmu Into the Wild z roku 2007.,Catherine Keener se neobjevila ve filmu Into the Wild z roku 2007.,P
75520,"Raja Hindustani (v překladu: Indický král) je indický hindský filmový trhák z roku 1996, romantické drama režiséra Dharmeshe Darshana.",Raja Hindustani je dramatický romantický film.,Raja Hindustani není dramatický romantický film.,P
143144,"Henri Kontinen. V současné době je světovou jedničkou v žebříčku čtyřhry poté, co vyhrál mistrovství světa ve čtyřhře mužů na Australian Open. V roce 2017 získal s Johnem Peersem také titul ve čtyřhře mužů na Australian Open a dosáhl tak na svůj první grandslamový titul ve čtyřhře.",Henri Kontinen se stal v roce 2011 mistrem světa ve čtyřhře mužů na Australian Open.,Henri Kontinen se nestal v roce 2011 mistrem světa ve čtyřhře mužů na Australian Open.,P
183448,"Jindřich III (1. října 1207 - 16. listopadu 1272), známý také jako Jindřich Winchesterský, byl od roku 1216 až do své smrti anglickým králem, pánem Irska a vévodou Akvitánským. Jindřich zemřel v roce 1272 a jako svého nástupce zanechal Eduarda. Byl pohřben ve Westminsterském opatství, které nechal v druhé polovině své vlády přestavět, a v roce 1290 byl přenesen do své současné hrobky. Jindřich III (19. září 1551 - 2. srpna 1589; rodným jménem Alexandre Édouard de France, Jindřich Valezy, Henrikas Valua) byl panovník z rodu Valois, který byl v letech 1573-1575 zvolen panovníkem Polsko-litevské unie a od roku 1574 až do své smrti vládl jako francouzský král. V roce 1589 zavraždil katolický fanatik Jacques Clément Jindřicha III. a jeho nástupcem se stal navarrský král, který jako Jindřich IV. nastoupil na francouzský trůn poté, co konvertoval ke katolicismu, a stal se prvním francouzským králem z rodu Bourbonů.",Jindřich III. byl zavražděn v roce 1859.,Jindřich III. nebyl zavražděn v roce 1859.,N
32730,"Kaskádové pohoří neboli Kaskády je hlavní pohoří na západě Severní Ameriky, táhnoucí se od jižní Britské Kolumbie přes Washington a Oregon až do severní Kalifornie. Mount Rainier (výslovnost: [reɪˈnɪər]), Mount Tacoma nebo Mount Tahoma je nejvyšší hora Kaskádového pohoří na severozápadě Tichého oceánu a nejvyšší hora amerického státu Washington. Pierce County, Washington. Okres Pierce je pozoruhodný tím, že se zde nachází Mount Rainier, nejvyšší hora a sopka Kaskádového pohoří.",V okrese Pierce County ve státě Washington se nachází nejvyšší hora Kaskádového pohoří na severozápadě Tichého oceánu.,V okrese Pierce County ve státě Washington se nenachází nejvyšší hora Kaskádového pohoří na severozápadě Tichého oceánu.,P
120655,"Anthony Scaramucci (narozen 6. ledna 1964) je americký podnikatel, finančník, politický činitel a spisovatel. Dne 12. ledna 2017 oznámil prezident Donald Trump svůj záměr jmenovat Scaramucciho ředitelem Úřadu Bílého domu pro styk s veřejností a mezivládní záležitosti. Po volbách v roce 2016 byl Scaramucci členem výkonného výboru prezidentského přechodného týmu. V roce 2005 Scaramucci založil globální investiční společnost SkyBridge Capital, kde působil jako spoluvedoucí partner, než tuto společnost počátkem roku 2017 prodal a přijal roli v Trumpově administrativě.",Anthony Scaramucci je politickým lídrem.,Anthony Scaramucci není politickým lídrem.,N
